,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees,car_name2
0,Hyundai Grand i10 Magna 1.2 Kappa VTVT [2017-2020],22402,1,8,2016,4.45,276
1,Maruti Suzuki Alto 800 Lxi,10344,1,7,2019,2.93,495
2,Tata Safari XZ Plus New,12999,0,2,2021,22.49,830
3,Maruti Suzuki Ciaz ZXI+,45000,1,13,2016,6.95,559
4,Jeep Compass Sport Plus 1.4 Petrol [2019-2020],11193,1,7,2019,12,383
5,Maruti Suzuki Eeco 5 STR WITH A/C+HTR [2019-2020],42906,1,3,2017,3.72,577
6,Hyundai Creta SX Plus 1.6 AT CRDI,66602,0,8,2017,11.5,232
7,Maruti Suzuki Ertiga VXi AT,13189,1,2,2019,10.39,582
8,Toyota Etios Liva G,67815,1,8,2013,3.75,866
9,Renault Kwid 1.0 RXT AMT Opt [2016-2019],19509,1,8,2018,4.25,741
10,Maruti Suzuki Ciaz VDi+ SHVS,60000,0,0,2017,6.75,555
11,Maruti Suzuki Alto 800 LXi (O),3583,1,2,2019,4.49,491
12,Chevrolet Optra Magnum LS 2.0 TCDi,148000,Diesel ,10,2007,3,78
13,Maruti Suzuki Vitara Brezza VDi,48748,0,6,2019,9.5,630
14,Jeep Compass Longitude 2.0 Diesel [2017-2020],38000,0,13,2018,13.25,380
15,Toyota Corolla Altis VL AT Petrol,36000,1,7,2016,9.25,861
16,Hyundai Elite i20 Magna Executive 1.2,13747,1,0,2017,6.75,252
17,Mercedes-Benz EQC 400 4MATIC,3200,2,12,2022,95,685
18,Ford EcoSport Titanium 1.5L Ti-VCT,12795,1,3,2018,8.71,108
19,Hyundai i10 Magna 1.2 Kappa2,41273,1,8,2014,3.35,343
20,Hyundai Creta 1.6 SX Plus Petrol Special Edition,20142,1,12,2016,9.88,216
21,Porsche 718 Boxster,6500,1,12,2020, 1.15 Crore,718
22,Kia Seltos HTE 1.5 Diesel,47103,0,13,2019,11,396
23,Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],7755,1,8,2020,9.9,545
24,Renault Kwid 1.0 RXL [2017-2019],33513,1,5,2019,3.45,739
25,BMW 3 Series 320d Luxury Line,24848,0,7,2019,37.49,45
