,car_name,s_driven,fuel_type,city,year_of_manufacture,car_price_in_rupees
0,276,22402,1,8,2016,4.45
1,495,10344,1,7,2019,2.93
2,830,12999,0,2,2021,22.49
3,559,45000,1,13,2016,6.95
4,383,11193,1,7,2019,12
5,577,42906,1,3,2017,3.72
6,232,66602,0,8,2017,11.5
7,582,13189,1,2,2019,10.39
8,866,67815,1,8,2013,3.75
9,741,19509,1,8,2018,4.25
10,555,60000,0,0,2017,6.75
11,491,3583,1,2,2019,4.49
13,630,48748,0,6,2019,9.5
14,380,38000,0,13,2018,13.25
15,861,36000,1,7,2016,9.25
16,252,13747,1,0,2017,6.75
17,685,3200,2,12,2022,95
18,108,12795,1,3,2018,8.71
19,343,41273,1,8,2014,3.35
20,216,20142,1,12,2016,9.88
22,396,47103,0,13,2019,11
23,545,7755,1,8,2020,9.9
24,739,33513,1,5,2019,3.45
25,45,24848,0,7,2019,37.49
26,509,34559,1,4,2017,6.39
27,360,4000,1,0,2022,8.9
28,108,54544,1,7,2018,6.59
29,646,42247,1,7,2018,3.92
30,195,100000,0,6,2018,8
31,618,69000,0,6,2019,7.75
32,819,10422,1,4,2021,11.52
33,30,52000,0,8,2014,16.75
34,545,56255,1,0,2019,8.5
35,295,78260,3,4,2021,5.93
36,492,19970,3,2,2021,4.15
37,431,9070,1,0,2020,18.5
38,121,73000,1,13,2013,2.4
39,25,46336,0,7,2015,11.99
40,231,57220,1,13,2016,8.95
41,197,7096,1,12,2021,9.68
42,685,21500,2,2,2020,81
43,268,44045,1,12,2015,4.93
44,63,70000,0,7,2013,10.5
45,626,32853,0,13,2018,7.85
46,53,26781,0,7,2017,38.99
47,788,45700,1,0,2021,31
48,610,62000,1,13,2014,4.85
49,641,73500,3,13,2017,4.35
50,641,74076,3,12,2017,4.51
51,843,56355,1,8,2018,5.45
52,840,37000,1,13,2017,4.5
53,652,22158,3,12,2021,6.81
54,330,62568,1,9,2014,3.95
55,397,19970,1,12,2019,11.43
56,52,73900,0,0,2015,23
57,395,37991,1,13,2020,10.5
58,214,58676,1,8,2018,12.75
59,284,35104,1,2,2017,5.99
60,390,51605,1,12,2019,16.2
61,605,17472,1,4,2020,4.2
62,257,80000,0,4,2015,4.75
63,691,16785,1,2,2021,66
64,678,3999,1,2,2020,68.99
65,641,66882,3,12,2017,4.41
66,15,71235,0,0,2018,29.5
67,77,56000,0,0,2013,5.9
68,276,74938,1,4,2016,4.14
69,156,82000,1,9,2009,2.85
70,652,57685,3,12,2021,6.75
71,254,48000,1,6,2018,7.1
72,666,120000,0,6,2013,13.95
