,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
0,3,99,50,25,20,31,2,45,11,88.6,168.8,64.1,48.8,2548,0,2,130,0,3.47,2.68,9.0,111,5000,21,27,13495
1,3,99,50,25,20,31,2,45,11,88.6,168.8,64.1,48.8,2548,0,2,130,0,3.47,2.68,9.0,111,5000,21,27,16500
2,1,99,50,25,20,31,1,45,11,94.5,171.2,65.5,52.4,2823,5,4,152,0,2.68,3.47,9.0,154,5000,19,26,16500
3,2,164,51,25,20,30,0,47,11,99.8,176.6,66.2,54.3,2337,3,2,109,0,3.19,3.4,10.0,102,5500,24,30,13950
4,2,164,51,25,20,30,0,46,11,99.4,176.6,66.4,54.3,2824,3,3,136,0,3.19,3.4,8.0,115,5500,18,22,17450
5,2,99,51,25,20,31,0,47,11,99.8,177.3,66.3,53.1,2507,3,3,136,0,3.19,3.4,8.5,110,5500,19,25,15250
6,1,158,51,25,20,30,0,47,11,105.8,192.7,71.4,55.7,2844,3,3,136,0,3.19,3.4,8.5,110,5500,19,25,17710
7,1,99,51,25,20,30,3,47,11,105.8,192.7,71.4,55.7,2954,3,3,136,0,3.19,3.4,8.5,110,5500,19,25,18920
8,1,158,51,25,21,30,0,47,11,105.8,192.7,71.4,55.9,3086,3,3,131,0,3.13,3.4,8.3,140,5500,17,20,23875
9,0,99,51,25,21,31,1,46,11,99.5,178.2,67.9,52.0,3053,3,3,131,0,3.13,3.4,7.0,160,5500,16,22,30000
10,2,192,71,25,20,31,0,45,11,101.2,176.8,64.8,54.3,2395,3,2,108,0,3.5,2.8,8.8,101,5800,23,29,16430
11,0,192,71,25,20,30,0,45,11,101.2,176.8,64.8,54.3,2395,3,2,108,0,3.5,2.8,8.8,101,5800,23,29,16925
12,0,188,71,25,20,31,0,45,11,101.2,176.8,64.8,54.3,2710,3,4,164,0,3.31,3.19,9.0,121,4250,21,28,20970
13,0,188,71,25,20,30,0,45,11,101.2,176.8,64.8,54.3,2765,3,4,164,0,3.31,3.19,9.0,121,4250,21,28,21105
14,1,99,71,25,20,30,0,45,11,103.5,189.0,66.9,55.7,3055,3,4,164,0,3.31,3.19,9.0,121,4250,20,25,24565
15,0,99,71,25,20,30,0,45,11,103.5,189.0,66.9,55.7,3230,3,4,209,0,3.62,3.39,8.0,182,5400,16,22,30760
16,0,99,71,25,20,31,0,45,11,103.5,193.8,67.9,53.7,3380,3,4,209,0,3.62,3.39,8.0,182,5400,16,22,41315
17,0,99,71,25,20,30,0,45,11,110.0,197.0,70.9,56.3,3505,3,4,209,0,3.62,3.39,8.0,182,5400,15,20,36880
18,1,98,70,25,20,31,1,47,11,94.5,155.9,63.6,52.0,1874,3,2,90,2,3.03,3.11,9.6,70,5400,38,43,6295
19,0,81,70,25,20,30,0,47,11,94.5,158.8,63.6,52.0,1909,3,2,90,2,3.03,3.11,9.6,70,5400,38,43,6575
20,1,118,69,25,20,31,1,47,11,93.7,157.3,63.8,50.8,1876,3,2,90,2,2.97,3.23,9.41,68,5500,37,41,5572
21,1,118,69,25,20,31,1,47,11,93.7,157.3,63.8,50.8,1876,3,2,90,2,2.97,3.23,9.4,68,5500,31,38,6377
22,1,118,69,25,21,31,1,47,11,93.7,157.3,63.8,50.8,2128,3,2,98,0,3.03,3.39,7.6,102,5500,24,30,7957
23,1,148,69,25,20,30,1,47,11,93.7,157.3,63.8,50.6,1967,3,2,90,2,2.97,3.23,9.4,68,5500,31,38,6229
24,1,148,69,25,20,30,0,47,11,93.7,157.3,63.8,50.6,1989,3,2,90,2,2.97,3.23,9.4,68,5500,31,38,6692
25,1,148,69,25,20,30,0,47,11,93.7,157.3,63.8,50.6,1989,3,2,90,2,2.97,3.23,9.4,68,5500,31,38,7609
